Source,Target,Weight,Type
afinogenov-mashenka_fem,afinogenov-mashenka_male,4,undirected
afinogenov-mashenka_fem,andreyev-mysl_male,2,undirected
afinogenov-mashenka_fem,bulgakov-dni-turbinyh_male,1,undirected
afinogenov-mashenka_fem,bulgakov-vojna-i-mir_fem,2,undirected
afinogenov-mashenka_male,afinogenov-mashenka_fem,4,undirected
afinogenov-mashenka_male,blok-neznakomka_fem,1,undirected
afinogenov-mashenka_male,blok-neznakomka_male,3,undirected
afinogenov-mashenka_male,bulgakov-beg_male,3,undirected
afinogenov-mashenka_male,bulgakov-poloumnyj-zhurden_male,1,undirected
afinogenov-mashenka_male,chekhov-predlozhenie_male,1,undirected
afinogenov-mashenka_male,lermontov-maskarad_male,2,undirected
afinogenov-mashenka_male,rostopchina-neludimka_male,2,undirected
afinogenov-mashenka_male,turgenev-gde-tonko-tam-i-rvetsja_male,5,undirected
afinogenov-mashenka_male,turgenev-neostorozhnost_male,2,undirected
afinogenov-mashenka_male,turgenev-vecher-v-sorrente_male,2,undirected
andreyev-k-zvezdam_fem,andreyev-k-zvezdam_male,6,undirected
andreyev-k-zvezdam_fem,andreyev-mysl_male,1,undirected
andreyev-k-zvezdam_fem,andreyev-ne-ubiy_fem,1,undirected
andreyev-k-zvezdam_fem,chekhov-predlozhenie_fem,3,undirected
andreyev-k-zvezdam_fem,gorky-egor-bulychov-i-drugie_fem,1,undirected
andreyev-k-zvezdam_fem,sukhovo-kobylin-smert-tarelkina_male,2,undirected
andreyev-k-zvezdam_male,andreyev-k-zvezdam_fem,6,undirected
andreyev-k-zvezdam_male,andreyev-mysl_fem,1,undirected
andreyev-k-zvezdam_male,andreyev-mysl_male,5,undirected
andreyev-k-zvezdam_male,andreyev-ne-ubiy_fem,2,undirected
andreyev-k-zvezdam_male,bulgakov-adam-i-eva_male,1,undirected
andreyev-mysl_fem,andreyev-k-zvezdam_male,1,undirected
andreyev-mysl_fem,andreyev-mysl_male,3,undirected
andreyev-mysl_fem,artsybashev-revnost_fem,2,undirected
andreyev-mysl_fem,ostrovsky-nevolnicy_fem,2,undirected
andreyev-mysl_male,afinogenov-mashenka_fem,2,undirected
andreyev-mysl_male,andreyev-k-zvezdam_fem,1,undirected
andreyev-mysl_male,andreyev-k-zvezdam_male,5,undirected
andreyev-mysl_male,andreyev-mysl_fem,3,undirected
andreyev-mysl_male,andreyev-ne-ubiy_male,2,undirected
andreyev-mysl_male,artsybashev-revnost_fem,1,undirected
andreyev-mysl_male,chekhov-ivanov_male,2,undirected
andreyev-mysl_male,gogol-utro-delovogo-cheloveka_male,3,undirected
andreyev-mysl_male,ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_male,1,undirected
andreyev-mysl_male,tolstoy-zhivoy-trup_male,1,undirected
andreyev-ne-ubiy_fem,andreyev-k-zvezdam_fem,1,undirected
andreyev-ne-ubiy_fem,andreyev-k-zvezdam_male,2,undirected
andreyev-ne-ubiy_fem,andreyev-ne-ubiy_male,6,undirected
andreyev-ne-ubiy_male,andreyev-mysl_male,2,undirected
andreyev-ne-ubiy_male,andreyev-ne-ubiy_fem,6,undirected
andreyev-ne-ubiy_male,merezhkovsky-pavel-pervyj_male,1,undirected
artsybashev-revnost_fem,andreyev-mysl_fem,2,undirected
artsybashev-revnost_fem,andreyev-mysl_male,1,undirected
artsybashev-revnost_fem,artsybashev-revnost_male,6,undirected
artsybashev-revnost_fem,chekhov-noch-pered-sudom_fem,2,undirected
artsybashev-revnost_fem,gogol-utro-delovogo-cheloveka_fem,1,undirected
artsybashev-revnost_male,artsybashev-revnost_fem,6,undirected
artsybashev-revnost_male,chekhov-djadja-vanja_male,2,undirected
artsybashev-revnost_male,tolstoy-zhivoy-trup_male,1,undirected
babel-marija_fem,babel-marija_male,6,undirected
babel-marija_fem,babel-zakat_male,3,undirected
babel-marija_fem,bulgakov-dni-turbinyh_male,2,undirected
babel-marija_male,babel-marija_fem,6,undirected
babel-marija_male,babel-zakat_fem,2,undirected
babel-marija_male,babel-zakat_male,5,undirected
babel-marija_male,bulgakov-dni-turbinyh_male,1,undirected
babel-zakat_fem,babel-marija_male,2,undirected
babel-zakat_fem,babel-zakat_male,3,undirected
babel-zakat_fem,ostrovsky-snegurochka_male,1,undirected
babel-zakat_male,babel-marija_fem,3,undirected
babel-zakat_male,babel-marija_male,5,undirected
babel-zakat_male,babel-zakat_fem,3,undirected
babel-zakat_male,mayakovsky-klop_male,1,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,belsky-skazanie-o-nevidimom-grade-kitezhe_male,6,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,chekhov-na-bolshoi-doroge_fem,2,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,kedrin-rembrandt_fem,2,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij_male,2,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,ostrovsky-snegurochka_fem,1,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_fem,prutkov-chereposlov-sirech-frenolog_fem,1,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_male,belsky-skazanie-o-nevidimom-grade-kitezhe_fem,6,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_male,ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij_male,2,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_male,ostrovsky-snegurochka_male,1,undirected
belsky-skazanie-o-nevidimom-grade-kitezhe_male,prutkov-chereposlov-sirech-frenolog_fem,2,undirected
blok-balaganchik_fem,blok-korol-na-ploschadi_fem,3,undirected
blok-balaganchik_fem,ekaterina-vtoraja-iz-zhizni-rjurika_fem,1,undirected
blok-balaganchik_fem,prutkov-spor-drevnih-grecheskih-filosofov_male,2,undirected
blok-balaganchik_male,glinka-velzen_male,2,undirected
