"ostrovsky-bednaja-nevesta_fem" "ostrovsky-bednaja-nevesta_male" "ostrovsky-bednost-ne-porok_fem" "ostrovsky-bednost-ne-porok_male" "ostrovsky-beshenye-dengi_fem" "ostrovsky-beshenye-dengi_male" "ostrovsky-bespridannitsa_fem" "ostrovsky-bespridannitsa_male" "ostrovsky-bez-viny-vinovatye_fem" "ostrovsky-bez-viny-vinovatye_male" "ostrovsky-bogatye-nevesty_fem" "ostrovsky-bogatye-nevesty_male" "ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij_fem" "ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij_male" "ostrovsky-dohodnoe-mesto_fem" "ostrovsky-dohodnoe-mesto_male" "ostrovsky-goryachee-serdce_fem" "ostrovsky-goryachee-serdce_male" "ostrovsky-greh-da-beda-na-kogo-ne-zhivet_fem" "ostrovsky-greh-da-beda-na-kogo-ne-zhivet_male" "ostrovsky-groza_fem" "ostrovsky-groza_male" "ostrovsky-les_fem" "ostrovsky-les_male" "ostrovsky-na-bojkom-meste_fem" "ostrovsky-na-bojkom-meste_male" "ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_fem" "ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty_male" "ostrovsky-ne-ot-mira-sego_fem" "ostrovsky-ne-ot-mira-sego_male" "ostrovsky-ne-soshlis-harakterami_fem" "ostrovsky-ne-soshlis-harakterami_male" "ostrovsky-ne-tak-zhivi-kak-hochetsya_fem" "ostrovsky-ne-tak-zhivi-kak-hochetsya_male" "ostrovsky-ne-v-svoi-sani-ne-sadis_fem" "ostrovsky-ne-v-svoi-sani-ne-sadis_male" "ostrovsky-neozhidannyj-sluchaj_fem" "ostrovsky-neozhidannyj-sluchaj_male" "ostrovsky-nevolnicy_fem" "ostrovsky-nevolnicy_male" "ostrovsky-poslednyaya-zhertva_fem" "ostrovsky-poslednyaya-zhertva_male" "ostrovsky-pozdnyaya-lyubov_fem" "ostrovsky-pozdnyaya-lyubov_male" "ostrovsky-prazdnichnyj-son-do-obeda_fem" "ostrovsky-prazdnichnyj-son-do-obeda_male" "ostrovsky-puchina_fem" "ostrovsky-puchina_male" "ostrovsky-semejnaya-kartina_fem" "ostrovsky-semejnaya-kartina_male" "ostrovsky-shutniki_fem" "ostrovsky-shutniki_male" "ostrovsky-snegurochka_fem" "ostrovsky-snegurochka_male" "ostrovsky-staryj-drug-luchshe-novyh-dvuh_fem" "ostrovsky-staryj-drug-luchshe-novyh-dvuh_male" "ostrovsky-svoi-ljudi_fem" "ostrovsky-svoi-ljudi_male" "ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj_fem" "ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj_male" "ostrovsky-trudovoj-hleb_fem" "ostrovsky-trudovoj-hleb_male" "ostrovsky-tyazhelye-dni_fem" "ostrovsky-tyazhelye-dni_male" "ostrovsky-utro-molodogo-cheloveka_male" "ostrovsky-v-chuzhom-piru-pohmelje_fem" "ostrovsky-v-chuzhom-piru-pohmelje_male" "ostrovsky-volki-i-ovtsy_fem" "ostrovsky-volki-i-ovtsy_male" "ostrovsky-vospitannica_fem" "ostrovsky-vospitannica_male" "ostrovsky-za-chem-pojdesh-to-i-najdesh_fem" "ostrovsky-za-chem-pojdesh-to-i-najdesh_male"
"не" 3.56925219813702 3.56250821611673 3.9192746417081 3.27700220426157 3.17532664843513 3.08021009525505 3.963133640553 3.10502283105023 2.69159374171307 3.1140350877193 3.02243649174856 3.20897881757825 2.16535433070866 3.15269688528741 3.1994459833795 3.21212763701898 2.94947422416004 2.76173913043478 3.48722986247544 3.35449862225949 3.77886634009797 2.7474293059126 3.6055923473142 2.85736900427418 3.82027349685262 3.11365807067813 3.36068776865963 3.03986234585604 3.29057445621863 3.12860438292964 3.00833635375136 2.53342716396904 3.32991803278689 3.78750614854894 3.7251356238698 2.91545189504373 2.92397660818713 3.45781466113416 3.28916232844297 3.32517633510868 3.56542213252607 3.48982936469681 3.17599578873487 3.15635832877212 3.10866574965612 2.04616998950682 3.06849315068493 2.78898647044861 3.67170626349892 3.24244657332351 3.45025876940771 3.29570520306215 2.38287560581583 2.60267789980442 3.31884630580798 3.24074074074074 2.69423558897243 2.93755135579293 2.84552845528455 2.9567519858782 3.31379046647973 2.42718446601942 2.87107258938245 2.51748251748252 3.2258064516129 2.36044657097289 3.95981087470449 3.31718618365628 2.85171102661597 3.6583374162992 2.81743050338092 3.28328658637189 2.38035580055124
"я" 3.40384782797946 4.29867227553569 1.98888563907575 2.73328434974284 3.00820419325433 3.00899136472892 3.41013824884793 2.79452054794521 3.03632988597189 2.63157894736842 3.15223437789727 3.49351881125514 3.0511811023622 1.43707267662699 2.70083102493075 3.03190925474398 3.71890228263657 2.36521739130435 2.43942370661428 2.71953995447466 2.42127361791463 2.20115681233933 4.20897718910964 2.55659331961374 3.16909051443456 2.61700095510984 2.93083235638921 2.982506452538 3.5973229224763 2.03287197231834 2.86335628851033 3.23715693173821 1.46004098360656 3.19724545007378 3.58047016274864 2.76273774816049 3.21637426900585 3.4380557202134 3.20634169427354 3.62746509284583 2.99360914900774 2.62219222982744 3.05316722231971 3.3205619412516 1.43053645116919 2.7806925498426 2.19178082191781 2.40920958936625 1.29589632829374 1.51068533529845 3.13398504887867 3.03620085636434 1.49434571890145 1.15841733112682 2.59449492954037 4.06746031746032 1.51942355889724 1.7974527526705 2.05510388437218 3.79523389232127 2.37063471832781 2.8269560251285 1.89599133261105 2.87490287490288 2.64241592312972 1.59489633173844 2.95508274231678 3.54886267902275 2.38593155893536 2.49877511024008 2.93012772351615 1.96337238079525 4.30969681784014
"и" 2.1502568120484 1.69580649401867 1.63790582041533 1.93975018368846 2.20297781829231 2.58167898157215 2.83410138248848 2.47488584474886 3.18217979315831 3.07017543859649 3.26348970888188 2.95605437875435 4.03543307086614 4.35553304634085 2.43767313019391 2.57606275840136 1.82097973839446 2.51130434782609 2.40667976424362 2.2523062178028 2.72918124562631 2.73136246786632 2.57542310522443 2.50118727243945 2.17060994139353 2.19675262655205 2.57913247362251 2.70528630150081 3.09537088678193 3.44579008073818 2.24719101123596 2.60380014074595 1.84426229508197 2.50860796851943 2.13381555153707 2.04081632653061 2.19298245614035 1.8968583283936 2.47278750591576 2.8069670361307 2.61240049332885 2.52578810373084 2.49166520442183 2.17113665389527 2.20082530949106 2.30849947534103 2.24657534246575 2.44481367196772 2.86177105831533 2.28445099484156 2.41518113858539 2.65991955365252 3.93780290791599 3.11418685121107 2.54181482944818 3.00925925925926 2.74122807017544 2.59860312243221 3.3423667570009 2.78022947925861 2.62554167728779 2.61279268989149 2.00433369447454 2.61072261072261 1.92175703500343 2.67942583732057 1.59574468085106 2.55897219882056 2.65209125475285 2.87440796994937 3.41848234410218 2.60683055601386 2.70608869957404
"что" 3.24714895098807 2.74746943604575 2.83708686750512 2.1895664952241 2.50683682771194 2.35021810736224 2.48847926267281 2.13698630136986 2.81092548395651 2.20394736842105 2.48470239198962 2.33955105912109 0.492125984251969 1.33578121043302 2.32686980609418 2.22622707516167 2.7442934085663 2.3304347826087 3.11067452521284 2.97112735114412 3.27501749475157 3.11696658097686 2.42825607064018 2.08959949343043 2.80008682439766 3.49570200573066 2.28604923798359 2.06481215944938 2.53764640267708 2.09054209919262 2.17470097861544 3.02603800140746 2.94569672131148 2.53320216428923 2.85714285714286 2.69332222684992 3.21637426900585 2.9045643153527 2.53194510175106 2.15920541240823 2.26482789550398 1.70635303190977 2.33374276188805 2.11640211640212 2.2283356258597 1.99370409233998 3.17808219178082 2.42107761690007 2.32181425485961 3.31613854089904 3.73778033352501 2.63396911898274 0.807754442649435 0.872574093576049 2.91057553009351 2.81084656084656 3.25814536340852 2.81429745275267 3.2520325203252 2.25066195939982 2.5490695895998 2.09880068532267 2.97941495124594 2.2999222999223 2.74536719286205 3.0622009569378 2.5709219858156 2.6010951979781 2.06273764258555 2.82541237955251 3.26821938392186 2.75532090414123 2.9065397143573
"то" 2.06320188038652 1.05166294202708 3.45130155016087 2.16017634092579 0.607718018839259 0.890234131576605 1.22119815668203 1.33333333333333 1.3126491646778 1.33771929824561 0.797329872056369 0.521656655074297 1.18110236220472 0.639402380349456 1.37119113573407 0.954097317926428 2.23134136958194 2.13565217391304 2.19384413883432 1.77309212890859 3.38698390482855 2.63496143958869 1.01545253863135 1.52762387209118 2.80008682439766 2.23495702005731 1.03556076592419 1.15667718191377 1.39431121026213 1.31199538638985 1.23233055454875 0.844475721323012 3.71413934426229 2.63157894736842 2.0253164556962 2.11023184784118 0.730994152046784 1.185536455246 1.15948887837198 1.223549733698 2.09664760623388 0.915839197917671 1.93016318652395 1.27713920817369 3.21870701513067 3.46274921301154 2.73972602739726 2.36173747923095 4.1036717062635 3.27929255711127 1.52386428982174 1.99818346957312 0.726978998384491 0.6619527606439 2.6603450546556 1.78571428571429 3.1171679197995 2.88619556285949 2.3486901535682 1.50044130626655 1.42747897017589 1.28498001142204 3.95449620801733 1.27428127428127 3.29444063143445 2.77511961722488 1.89125295508274 1.73757371524853 1.53041825095057 2.286460885187 1.08940646130729 2.67282626629269 1.65372087196191
"а" 1.41028989292243 1.44603654528724 2.01813395729746 2.10139603232917 1.00273473108478 1.60242143683789 1.29032258064516 1.59817351598174 1.49827631927871 1.46929824561404 1.40923419247172 1.0275055327221 1.5748031496063 1.41808052671562 1.49584487534626 1.36753948902788 1.97486535008977 2.10782608695652 1.63719711853307 1.77309212890859 1.98740377886634 2.2172236503856 1.32450331125828 1.86797530473326 1.99696114608205 2.23495702005731 1.01602188354826 1.39566007073894 1.61740100390407 1.54267589388697 1.55853570134107 2.25193525686137 1.89549180327869 1.89375307427447 1.33815551537071 1.74927113702624 1.31578947368421 1.14601857340447 1.27780407004259 1.41068086944005 1.68180289270098 1.59066808059385 1.75469380593086 1.62379127896369 1.95323246217332 2.20356768100735 1.75342465753425 2.1362449560883 2.26781857451404 2.17391304347826 1.78263369752731 2.07603477358246 1.0702746365105 1.3239055212878 1.94916370341104 2.11640211640212 1.8483709273183 2.58833196384552 1.85185185185185 1.63283318623124 1.50395105786388 1.97030268418047 1.67930660888407 1.8026418026418 2.60809883321894 2.16905901116427 1.83215130023641 1.71651221566976 1.61596958174905 1.66585007349339 1.61532682193839 2.29335093218941 2.30518667000752
"с" 1.0011317141116 1.18312080978047 0.994442819537877 1.64584864070536 0.926769978729869 1.06828095789193 0.852534562211982 1.78082191780822 1.02094935030496 1.14035087719298 0.852957537548674 1.07492886500158 0.885826771653543 0.993922512028362 0.969529085872576 2.70327573412488 1.33367530135932 1.27304347826087 1.03143418467584 1.74913142446388 0.979706088173548 1.14074550128535 0.69168506254599 2.56450846921007 1.0418927718689 1.12702960840497 0.566627588901915 1.24271102189083 0.864472950362521 1.15340253748558 0.724900326205147 1.26671358198452 1.33196721311475 0.983767830791933 1.15732368896926 1.95751770095793 0.292397660818713 1.38312586445367 0.934690014197823 0.978839786958399 0.796053369211795 3.33558276294225 0.842253026846815 1.40485312899106 1.56808803301238 2.7806925498426 1.34246575342466 1.45976738666034 1.18790496760259 1.25276344878408 0.891316848763657 2.06305955624757 1.02988691437803 0.676997141567624 1.39602265244304 2.74470899470899 1.20614035087719 3.25595727198028 0.790424570912376 3.48631950573698 1.14708131531991 1.77041690462593 0.866738894907909 2.57964257964258 1.2697323266987 1.21212121212121 1.86170212765957 1.03201347935973 1.67300380228137 0.702270129021721 1.46506386175808 0.940438871473354 3.50789275870709
"да" 1.11430312527205 0.749309846194295 2.95408014039193 1.66054371785452 0.592525068368277 0.943648179471201 1.54377880184332 1.49771689497717 2.04189870060992 1.34868421052632 1.094010754682 0.995889977869112 0.393700787401575 0.848316029374525 1.0387811634349 1.07070921233966 1.00025647601949 1.33565217391304 1.62082514734774 1.53348508446148 1.55353393981805 1.83161953727506 1.0448859455482 1.32182998258667 1.49772085956154 2.00573065902579 1.19187182493161 1.17579581301979 1.53374233128834 1.42733564013841 1.37731061978978 1.37227304714989 1.89549180327869 1.20511559272012 1.15732368896926 1.26336248785228 0.87719298245614 1.87709938747283 1.63274964505442 1.25233913919678 1.84998318197107 1.13756868793984 1.64941217757501 1.20415982484948 1.07290233837689 1.67890870933893 1.67123287671233 1.5903156895324 2.69978401727862 2.50552689756817 0.862564692351926 1.36239782016349 0.706785137318255 0.857529712652324 1.83063347820361 1.32275132275132 2.20864661654135 1.83853738701726 1.64859981933153 1.41218005295675 2.01376497578384 1.24214734437464 1.73347778981582 1.35198135198135 1.8188057652711 1.30781499202552 1.24113475177305 1.69545071609099 1.51140684410646 1.25755348685285 1.31480090157776 1.22092064015839 1.00225507391631
"в" 0.948898755114477 1.06480872880242 1.14068441064639 1.70462894930198 1.24582193862048 1.70034719131131 1.19815668202765 1.33333333333333 1.40546274197826 1.48026315789474 1.1125533098461 1.35946885867847 2.36220472440945 1.83590782476576 1.49584487534626 1.42054489557935 1.46191331110541 1.6904347826087 1.26064178127046 1.36576015334851 1.42757172848146 1.15681233933162 1.03016924208977 1.765078359981 0.998480573041025 1.10792741165234 1.36772176631497 1.44345664850397 1.36642498605689 1.36966551326413 1.9572308807539 1.72413793103448 0.845286885245902 0.959173635022135 0.904159132007233 1.20783007080383 0.584795321637427 1.1262596324837 1.34879318504496 1.36749676119188 1.17726202489068 1.37857900318134 1.421301982804 1.33187374566685 1.34800550206327 1.57397691500525 1.06849315068493 1.43603133159269 1.45788336933045 1.58437730287399 0.891316848763657 0.986116517451667 2.20113085621971 1.82037009177072 0.908731726590281 0.85978835978836 0.892857142857143 1.28389482333607 1.30984643179765 1.27978817299206 0.968646444047923 1.79897201599086 1.57096424702059 1.67832167832168 1.09814687714482 1.08452950558214 1.35933806146572 1.24262847514743 1.52091254752852 1.09423485219664 1.2396694214876 1.17142385744927 1.97945377098472
"ты" 1.54087229041525 1.01222558170106 2.36911377595788 1.36664217487142 0.303859009419629 0.67657793999822 0.483870967741935 0.520547945205479 1.16679925749138 0.87719298245614 0.648989430743556 0.189693329117926 1.77165354330709 1.29146619397316 0.983379501385042 1.08131029364995 3.33418825339831 2.1495652173913 1.53896529142109 1.92883670779921 2.01539538138558 1.76735218508997 2.11920529801325 1.40889662814627 2.32255263729108 2.92263610315186 0.683860883157483 0.420609884332282 0.669269380925823 0.591118800461361 1.7035157665821 2.11118930330753 2.74077868852459 2.28726020659124 1.59132007233273 1.52714146883243 0 3.39853783837186 0.319451017510648 0.633366920973082 0.941809619912546 1.02188373662393 0.842253026846815 1.24064951651159 1.07290233837689 0.314795383001049 2.24657534246575 1.94635651554712 2.15982721382289 1.91599115696389 1.17883841288097 1.81653042688465 0.989499192245557 0.857529712652324 1.09311207691295 0.661375661375661 2.13032581453634 1.3455217748562 1.64859981933153 0.88261253309797 0.917665052255927 1.01370645345517 0.650054171180932 1.75602175602176 2.60809883321894 1.18022328548644 1.6548463356974 1.31634372367313 0.494296577946768 1.91082802547771 1.16453794139745 2.34284771489853 0.626409421197695
